title;start;slurmConfig;copyConfigFrom;cm_CES_lab_eff_factor;path_gdx;path_gdx_ref;climate;cm_nash_autoconverge;cm_budgetCO2_absDevTol;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;cm_budgetCO2from2020;cm_startyear;carbonprice;cm_taxCO2_functionalForm;cm_taxCO2_peakBudgYr;cm_peakBudgYr;cm_taxCO2_regiDiff;cm_taxCO2_regiDiff_startyearValue;cm_taxCO2_IncAfterPeakBudgYr;cm_emiscen;cm_maxProdBiolc;cm_33EW;c_biopyrEstablished;cm_33OAE;cm_33_OAE_limit_EEZ;cm_frac_NetNegEmi;cm_NetNegEmi_calculation;c_ccsinjecratescen;c_changeProdCost;cm_CESMkup_build;cm_CESMkup_ind;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_GDPpopScen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;c_regi_earlyreti_rate;cm_prtpScen;cm_fetaxscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;description
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# NPi2025 with different carbon prices;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## default carbon price;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p05;1;9;SSP2-NPi2025_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p10;1;9;SSP2-NPi2025_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p15;1;9;SSP2-NPi2025_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p20;1;9;SSP2-NPi2025_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p25;1;9;SSP2-NPi2025_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_1p30;1;9;SSP2-NPi2025_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p95;1;9;SSP2-NPi2025_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p90;1;9;SSP2-NPi2025_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p85;1;9;SSP2-NPi2025_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p80;1;9;SSP2-NPi2025_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p75;1;9;SSP2-NPi2025_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_lab_0p70;1;9;SSP2-NPi2025_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;2030;functionalForm;linear;150;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p05;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p10;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p15;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p20;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p25;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_1p30;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p95;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p90;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p85;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p80;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p75;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice150_lab_0p70;1;9;SSP2-NPi2025-EcPrice150_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;2030;functionalForm;linear;300;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p05;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p10;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p15;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p20;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p25;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_1p30;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p95;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p90;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p85;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p80;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p75;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice300_lab_0p70;1;9;SSP2-NPi2025-EcPrice300_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;2030;functionalForm;linear;450;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p05;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p10;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p15;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p20;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p25;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_1p30;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p95;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p90;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p85;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p80;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p75;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice450_lab_0p70;1;9;SSP2-NPi2025-EcPrice450_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;2030;functionalForm;linear;600;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p05;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p10;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p15;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p20;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p25;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_1p30;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p95;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p90;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p85;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p80;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p75;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice600_lab_0p70;1;9;SSP2-NPi2025-EcPrice600_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p0;1;9;SSP2-NPi2025_def;1;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;2030;functionalForm;linear;900;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p05;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p10;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p15;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p20;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p25;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_1p30;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p95;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p90;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p85;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p80;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p75;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025-EcPrice900_lab_0p70;1;9;SSP2-NPi2025-EcPrice900_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Default remind policy settings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p0;1;9;SSP2-EcPrice300_def;1;output/SSP2-EcPrice300-def_2025-10-08_10.10.15/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p05;1;9;SSP2-EcPrice300_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p10;1;9;SSP2-EcPrice300_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p15;1;9;SSP2-EcPrice300_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p20;1;9;SSP2-EcPrice300_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p25;1;9;SSP2-EcPrice300_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_1p30;1;9;SSP2-EcPrice300_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p95;1;9;SSP2-EcPrice300_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p90;1;9;SSP2-EcPrice300_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p85;1;9;SSP2-EcPrice300_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p80;1;9;SSP2-EcPrice300_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p75;1;9;SSP2-EcPrice300_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice300_lab_0p70;1;9;SSP2-EcPrice300_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
